Name,Description,Rooms,TaskNames,TaskDescriptions,TaskImages,Tags,isPublic,ExpenseNames,ExpenseCosts
Bathroom Remodel,Bathroom Remodel to improve functionality and aesthetics.,Bathroom,Add landscaping;Install ventilation;Lay tile,"Improve curb appeal with planting and garden features.;Add vents for better air circulation.;Lay durable ceramic tiles for a clean, stylish finish.",finishing_touches.png;clean_up.png;door.png,Bathroom;Remodel;Add landscaping;Install ventilation;Lay tile,true,Reflect|Team|Animal|At;List;,222.43|359.03|458.32|342.00;95.22;
Basement Finishing,Basement Finishing to improve functionality and aesthetics.,Basement,Fix plumbing;Upgrade insulation;Install door,"Address leaks and install new pipes where needed.;Enhance thermal efficiency with new insulation.;Install a durable, stylish new door.",painting.png;finishing_touches.png;window.png,Basement;Finishing;Fix plumbing;Upgrade insulation;Install door,true,Down|Fact|Even|Six;Form|Change|Sit|Direction;Side|Star,286.74|397.67|53.34|43.28;437.57|171.16|232.95|444.46;288.86|201.86
Living Room Makeover,Living Room Makeover to improve functionality and aesthetics.,Living Room,Install shelving;Install cabinets;Install ventilation,Add practical and stylish shelving.;Custom cabinets added for optimized storage.;Add vents for better air circulation.,carpentry.png;finishing_touches.png;structural.png,Living;Room;Makeover;Install shelving;Install cabinets,true,Road|Treat|Clearly;Fear;,357.39|338.29|444.58;45.17;
Home Office Setup,Home Office Setup to improve functionality and aesthetics.,Office,Fix plumbing;Install flooring;Paint walls,"Address leaks and install new pipes where needed.;Lay new hardwood, laminate, or tile flooring.;Paint the walls with a contemporary, appealing color scheme.",clean_up.png;window.png;painting.png,Home;Office;Setup;Fix plumbing;Install flooring,true,Side|South|Probably|Available;Lead|Certainly|These;Mind|Modern|Value|Thousand,272.40|230.24|237.90|395.08;209.02|146.84|79.88;320.84|38.42|214.03|337.19
Deck Renovation,Deck Renovation to improve functionality and aesthetics.,Deck,Install door;Add landscaping;Paint exterior,"Install a durable, stylish new door.;Improve curb appeal with planting and garden features.;Refresh the exterior with weather-resistant paint.",landscaping.png;painting.png;house.png,Deck;Renovation;Install door;Add landscaping;Paint exterior,true,Will|Significant;;Other|Certainly|Road|Seven,127.77|205.52;;318.97|310.41|229.64|35.72
Attic Insulation Upgrade,Attic Insulation Upgrade to improve functionality and aesthetics.,Attic,Install appliances;Install cabinets;Install flooring,"Add high-efficiency appliances.;Custom cabinets added for optimized storage.;Lay new hardwood, laminate, or tile flooring.",carpentry.png;finishing_touches.png;roofing.png,Attic;Insulation;Upgrade;Install appliances;Install cabinets,true,;Factor|Store|Dark;On|Hour,;79.52|303.38|488.44;73.73|460.98
Exterior Painting,Exterior Painting to improve functionality and aesthetics.,Exterior,Repair roof;Replace windows;Add landscaping,Reinforce or replace roofing materials.;Install modern windows for better energy performance.;Improve curb appeal with planting and garden features.,clean_up.png;house.png;flooring.png,Exterior;Painting;Repair roof;Replace windows;Add landscaping,true,Side|Prevent|Establish;Only|Time;Us|Live|Money|Center,15.95|259.29|149.73;293.93|136.88;139.14|173.29|198.38|119.25
Front Porch Repair,Front Porch Repair to improve functionality and aesthetics.,Porch,Install door;Lay tile;Fix plumbing,"Install a durable, stylish new door.;Lay durable ceramic tiles for a clean, stylish finish.;Address leaks and install new pipes where needed.",flooring.png;roofing.png;demolition.png,Front;Porch;Repair;Install door;Lay tile,true,Drop|Accept;Health;Also|Identify,35.99|356.78;51.11;67.03|234.06
Sunroom Addition,Sunroom Addition to improve functionality and aesthetics.,Sunroom,Install door;Install flooring;Replace windows,"Install a durable, stylish new door.;Lay new hardwood, laminate, or tile flooring.;Install modern windows for better energy performance.",window.png;structural.png;clean_up.png,Sunroom;Addition;Install door;Install flooring;Replace windows,true,Senior|Bar;Role|Them;Cause|Would|Wear|And,367.12|34.45;376.36|362.14;455.72|94.54|343.43|485.71
Laundry Room Update,Laundry Room Update to improve functionality and aesthetics.,Laundry Room,Install ventilation;Install HVAC;Build structure,Add vents for better air circulation.;Set up an energy-efficient heating and cooling system.;Erect necessary support or framework.,clean_up.png;roofing.png;plumbing.png,Laundry;Room;Update;Install ventilation;Install HVAC,true,Drug|Civil|Ready|Operation;;,109.59|423.72|19.52|68.94;;
Entryway Redesign,Entryway Redesign to improve functionality and aesthetics.,Entryway,Replace windows;Paint exterior;Finish carpentry,Install modern windows for better energy performance.;Refresh the exterior with weather-resistant paint.;Complete detailed woodwork and molding.,plumbing.png;roofing.png;hvac.png,Entryway;Redesign;Replace windows;Paint exterior;Finish carpentry,true,Order|Bed|Billion;Along|Concern;Spring|Same,362.53|249.68|236.55;100.34|224.98;39.44|36.17
Walk-in Closet Build,Walk-in Closet Build to improve functionality and aesthetics.,Closet,Repair drywall;Build structure;Install ventilation,Fix cracks or holes in drywall.;Erect necessary support or framework.;Add vents for better air circulation.,demolition.png;door.png;painting.png,Walk-in;Closet;Build;Repair drywall;Build structure,true,Begin|Program|Beyond|Four;Impact|Boy;Information|Hit|Along,106.42|428.59|11.65|170.57;175.46|121.41;55.79|105.62|217.37
Ceiling Replacement,Ceiling Replacement to improve functionality and aesthetics.,Ceiling,Repair drywall;Install appliances;Replace windows,Fix cracks or holes in drywall.;Add high-efficiency appliances.;Install modern windows for better energy performance.,flooring.png;plumbing.png;structural.png,Ceiling;Replacement;Repair drywall;Install appliances;Replace windows,true,Human;;,167.64;;
Fence Installation,Fence Installation to improve functionality and aesthetics.,Yard,Install ventilation;Paint walls;Install HVAC,"Add vents for better air circulation.;Paint the walls with a contemporary, appealing color scheme.;Set up an energy-efficient heating and cooling system.",structural.png;hvac.png;window.png,Fence;Installation;Install ventilation;Paint walls;Install HVAC,true,Job|Detail;Church|School;Think|Visit|Middle,235.65|382.44;462.40|57.55;484.15|263.33|264.51
Kitchen Island Installation,Kitchen Island Installation to improve functionality and aesthetics.,Kitchen,Install shelving;Install ventilation;Install flooring,"Add practical and stylish shelving.;Add vents for better air circulation.;Lay new hardwood, laminate, or tile flooring.",roofing.png;demolition.png;structural.png,Kitchen;Island;Installation;Install shelving;Install ventilation,true,Political|Miss;Drop;By,89.01|251.25;444.23;424.08
Pantry Expansion,Pantry Expansion to improve functionality and aesthetics.,Pantry,Repair drywall;Finish carpentry;Install flooring,"Fix cracks or holes in drywall.;Complete detailed woodwork and molding.;Lay new hardwood, laminate, or tile flooring.",insulation.png;finishing_touches.png;clean_up.png,Pantry;Expansion;Repair drywall;Finish carpentry;Install flooring,true,Keep|Argue|Action|Executive;;,182.65|109.22|472.67|456.74;;
Mudroom Construction,Mudroom Construction to improve functionality and aesthetics.,Mudroom,Lay tile;Paint exterior;Add landscaping,"Lay durable ceramic tiles for a clean, stylish finish.;Refresh the exterior with weather-resistant paint.;Improve curb appeal with planting and garden features.",clean_up.png;roofing.png;finishing_touches.png,Mudroom;Construction;Lay tile;Paint exterior;Add landscaping,true,Pm;;Whole,458.09;;281.70
Home Gym Setup,Home Gym Setup to improve functionality and aesthetics.,Gym,Repair drywall;Lay tile;Install flooring,"Fix cracks or holes in drywall.;Lay durable ceramic tiles for a clean, stylish finish.;Lay new hardwood, laminate, or tile flooring.",roofing.png;plumbing.png;finishing_touches.png,Home;Gym;Setup;Repair drywall;Lay tile,true,Skill|South;Foreign|Order|Painting;Wrong,266.82|170.20;235.20|132.56|173.71;435.48
Playroom Renovation,Playroom Renovation to improve functionality and aesthetics.,Playroom,Install lighting;Install shelving;Install door,"Install energy-efficient lighting for improved brightness.;Add practical and stylish shelving.;Install a durable, stylish new door.",clean_up.png;painting.png;finishing_touches.png,Playroom;Renovation;Install lighting;Install shelving;Install door,true,Time|Likely;Yard|Happy|Lead;Should|Call,474.46|401.06;201.81|122.39|342.63;261.06|345.16
Home Theater Installation,Home Theater Installation to improve functionality and aesthetics.,Theater,Build structure;Install flooring;Finish carpentry,"Erect necessary support or framework.;Lay new hardwood, laminate, or tile flooring.;Complete detailed woodwork and molding.",door.png;painting.png;hvac.png,Home;Theater;Installation;Build structure;Install flooring,true,Each|Upon|Should|Risk;On|Performance|To;Network|Blue|Many|Reason,326.18|439.45|286.42|243.96;224.38|379.70|29.48;91.25|262.13|95.65|56.64
Driveway Resurfacing,Driveway Resurfacing to improve functionality and aesthetics.,Driveway,Install shelving;Install lighting;Repair roof,Add practical and stylish shelving.;Install energy-efficient lighting for improved brightness.;Reinforce or replace roofing materials.,landscaping.png;carpentry.png;roofing.png,Driveway;Resurfacing;Install shelving;Install lighting;Repair roof,true,Manage|Threat;Require|Operation|Upon|Church;True|Early|Degree|Issue,191.82|445.83;112.22|188.27|59.27|341.87;186.22|102.50|483.83|270.15
Shed Construction,Shed Construction to improve functionality and aesthetics.,Shed,Paint walls;Install cabinets;Paint exterior,"Paint the walls with a contemporary, appealing color scheme.;Custom cabinets added for optimized storage.;Refresh the exterior with weather-resistant paint.",plumbing.png;hvac.png;door.png,Shed;Construction;Paint walls;Install cabinets;Paint exterior,true,South|Left|At;Miss|Father|Candidate;Response|Consumer|Too|Mind,322.05|205.56|130.97;487.33|232.53|359.37;177.11|441.53|18.96|316.30
Window Replacement,Window Replacement to improve functionality and aesthetics.,Windows,Install cabinets;Paint exterior;Repair drywall,Custom cabinets added for optimized storage.;Refresh the exterior with weather-resistant paint.;Fix cracks or holes in drywall.,clean_up.png;landscaping.png;insulation.png,Window;Replacement;Install cabinets;Paint exterior;Repair drywall,true,Month;;,25.87;;
Door Upgrade,Door Upgrade to improve functionality and aesthetics.,Doors,Install cabinets;Repair roof;Add landscaping,Custom cabinets added for optimized storage.;Reinforce or replace roofing materials.;Improve curb appeal with planting and garden features.,plumbing.png;house.png;structural.png,Door;Upgrade;Install cabinets;Repair roof;Add landscaping,true,Wrong|Development;Position|Foot|Chance|Rate;,95.01|208.89;250.15|83.97|26.80|226.66;
Fireplace Refacing,Fireplace Refacing to improve functionality and aesthetics.,Fireplace,Replace windows;Build structure;Repair roof,Install modern windows for better energy performance.;Erect necessary support or framework.;Reinforce or replace roofing materials.,flooring.png;window.png;roofing.png,Fireplace;Refacing;Replace windows;Build structure;Repair roof,true,All|Professional;;,49.97|269.20;;
Staircase Refinishing,Staircase Refinishing to improve functionality and aesthetics.,Stairs,Repair drywall;Install cabinets;Replace windows,Fix cracks or holes in drywall.;Custom cabinets added for optimized storage.;Install modern windows for better energy performance.,demolition.png;clean_up.png;finishing_touches.png,Staircase;Refinishing;Repair drywall;Install cabinets;Replace windows,true,;Beat;Others|Subject|Position,;49.97;426.68|326.69|244.54
Backyard Lighting,Backyard Lighting to improve functionality and aesthetics.,Backyard,Repair drywall;Install ventilation;Repair roof,Fix cracks or holes in drywall.;Add vents for better air circulation.;Reinforce or replace roofing materials.,structural.png;roofing.png;finishing_touches.png,Backyard;Lighting;Repair drywall;Install ventilation;Repair roof,true,Fear|Newspaper;Admit|Discover;Rich|Safe|Business,309.02|90.88;416.26|233.50;363.26|94.15|475.88
Security System Install,Security System Install to improve functionality and aesthetics.,Security,Install ventilation;Install cabinets;Build structure,Add vents for better air circulation.;Custom cabinets added for optimized storage.;Erect necessary support or framework.,landscaping.png;hvac.png;flooring.png,Security;System;Install;Install ventilation;Install cabinets,true,To;Agency|Society;Picture,188.06;441.24|77.57;194.80
Garage Door Replacement,Garage Door Replacement to improve functionality and aesthetics.,Garage,Paint exterior;Finish carpentry;Install shelving,Refresh the exterior with weather-resistant paint.;Complete detailed woodwork and molding.;Add practical and stylish shelving.,structural.png;carpentry.png;finishing_touches.png,Garage;Door;Replacement;Paint exterior;Finish carpentry,true,Interesting|Role|Agreement;;Information|Interest,76.54|350.55|65.19;;78.08|494.86
Gutter Replacement,Gutter Replacement to improve functionality and aesthetics.,Gutters,Install ventilation;Fix plumbing;Lay tile,"Add vents for better air circulation.;Address leaks and install new pipes where needed.;Lay durable ceramic tiles for a clean, stylish finish.",landscaping.png;roofing.png;clean_up.png,Gutter;Replacement;Install ventilation;Fix plumbing;Lay tile,true,Open|Baby|Head|Have;;Several,236.15|382.77|142.03|409.59;;399.61
Bathroom Tile Work,Bathroom Tile Work to improve functionality and aesthetics.,Bathroom,Paint exterior;Install appliances;Upgrade insulation,Refresh the exterior with weather-resistant paint.;Add high-efficiency appliances.;Enhance thermal efficiency with new insulation.,plumbing.png;door.png;flooring.png,Bathroom;Tile;Work;Paint exterior;Install appliances,true,Democratic|Middle;East|Big|Foot|Activity;Safe,470.66|285.64;14.04|306.47|255.33|34.44;359.55
Water Heater Upgrade,Water Heater Upgrade to improve functionality and aesthetics.,Utility Room,Paint walls;Replace windows;Paint exterior,"Paint the walls with a contemporary, appealing color scheme.;Install modern windows for better energy performance.;Refresh the exterior with weather-resistant paint.",roofing.png;plumbing.png;window.png,Water;Heater;Upgrade;Paint walls;Replace windows,true,Because|Grow;Edge|Their;,169.59|362.43;85.55|166.57;
Storm Door Install,Storm Door Install to improve functionality and aesthetics.,Entryway,Fix plumbing;Install appliances;Install HVAC,Address leaks and install new pipes where needed.;Add high-efficiency appliances.;Set up an energy-efficient heating and cooling system.,landscaping.png;insulation.png;door.png,Storm;Door;Install;Fix plumbing,true,Republican;Catch|Address|Box;Employee|Away|Trouble,114.58;56.50|405.27|492.85;380.21|474.04|58.35
